DeliveryID,OrderID,DeliveryPartnerName,PickupTime,DeliveryEndTime,DistanceTraveled
7001,3001,Arjun Nair,04:03.4,27:03.4,1.98
7002,3002,Arjun Nair,00:03.4,10:03.4,7.93
7003,3003,Rohit Sharma,00:03.4,10:03.4,4.67
7004,3004,Sneha Patil,02:03.4,25:03.4,6.93
7005,3005,Karan Mehta,45:03.4,08:03.4,9.33
7006,3006,Priya Das,58:03.4,06:03.4,4.72
7007,3007,Karan Mehta,33:03.4,56:03.4,7.59
7008,3008,Rohit Sharma,18:03.4,36:03.4,6.6
7009,3009,Karan Mehta,00:03.4,10:03.4,3.37
7010,3010,Amit Singh,57:03.4,15:03.4,2.69
7011,3011,Arjun Nair,14:03.4,27:03.4,2.74
7012,3012,Sneha Patil,26:03.4,36:03.4,7.98
7013,3013,Priya Das,17:03.4,40:03.4,2.79
7014,3014,Rahul Jain,05:03.4,18:03.4,7.81
7015,3015,Arjun Nair,13:03.4,31:03.4,2.14
7016,3016,Rahul Jain,15:03.4,33:03.4,9.93
7017,3017,Divya Rao,17:03.4,25:03.4,6.95
7018,3018,Arjun Nair,17:03.4,27:03.4,7.27
7019,3019,Sneha Patil,55:03.4,08:03.4,9.27
7020,3020,Rahul Jain,51:03.4,09:03.4,4.73
7021,3021,Arjun Nair,32:03.4,45:03.4,9.99
7022,3022,Divya Rao,50:03.4,00:03.4,7.29
7023,3023,Simran Kaur,39:03.4,52:03.4,5.23
7024,3024,Karan Mehta,34:03.4,44:03.4,1.7
7025,3025,Rahul Jain,31:03.4,54:03.4,3.27
7026,3026,Priya Das,18:03.4,36:03.4,8.82
7027,3027,Priya Das,27:03.4,40:03.4,6.15
7028,3028,Divya Rao,02:03.4,15:03.4,6.76
7029,3029,Amit Singh,31:03.4,39:03.4,1.85
7030,3030,Sneha Patil,41:03.4,51:03.4,6.24
7031,3031,Priya Das,39:03.4,52:03.4,3.22
7032,3032,Divya Rao,10:03.4,18:03.4,2.03
7033,3033,Divya Rao,21:03.4,44:03.4,4.88
7034,3034,Karan Mehta,22:03.4,32:03.4,7.82
7035,3035,Vikram Verma,06:03.4,29:03.4,9.21
7036,3036,Simran Kaur,20:03.4,30:03.4,4.37
7037,3037,Arjun Nair,34:03.4,52:03.4,2.06
7038,3038,Divya Rao,52:03.4,02:03.4,6.23
7039,3039,Arjun Nair,15:03.4,25:03.4,7.01
7040,3040,Divya Rao,48:03.4,01:03.4,4.87
7041,3041,Priya Das,05:03.4,15:03.4,3.28
7042,3042,Karan Mehta,02:03.4,20:03.4,7.93
7043,3043,Sneha Patil,19:03.4,37:03.4,3.89
7044,3044,Rohit Sharma,27:03.4,35:03.4,3.45
7045,3045,Amit Singh,11:03.4,19:03.4,3.68
7046,3046,Divya Rao,23:03.4,36:03.4,7.38
7047,3047,Divya Rao,33:03.4,43:03.4,7.66
7048,3048,Priya Das,13:03.4,26:03.4,6.55
7049,3049,Simran Kaur,24:03.4,34:03.4,6.8
7050,3050,Rahul Jain,19:03.4,29:03.4,9.7
7051,3051,Rahul Jain,42:03.4,50:03.4,4.63
7052,3052,Rahul Jain,16:03.4,34:03.4,7.28
7053,3053,Vikram Verma,37:03.4,45:03.4,5.01
7054,3054,Rohit Sharma,58:03.4,11:03.4,5.3
7055,3055,Rahul Jain,35:03.4,43:03.4,2.84
7056,3056,Sneha Patil,47:03.4,10:03.4,4.68
7057,3057,Arjun Nair,14:03.4,37:03.4,8.83
7058,3058,Amit Singh,55:03.4,18:03.4,7.36
7059,3059,Sneha Patil,57:03.4,15:03.4,9.28
7060,3060,Priya Das,12:03.4,22:03.4,9.16
7061,3061,Vikram Verma,28:03.4,46:03.4,5.6
7062,3062,Sneha Patil,03:03.4,11:03.4,6.04
7063,3063,Divya Rao,28:03.4,38:03.4,1.51
7064,3064,Rohit Sharma,37:03.4,55:03.4,6.33
7065,3065,Amit Singh,59:03.4,12:03.4,8.01
7066,3066,Simran Kaur,19:03.4,32:03.4,2.35
7067,3067,Sneha Patil,17:03.4,30:03.4,5.77
7068,3068,Amit Singh,50:03.4,00:03.4,8.35
7069,3069,Priya Das,32:03.4,50:03.4,2.78
7070,3070,Simran Kaur,44:03.4,07:03.4,8.67
7071,3071,Arjun Nair,11:03.4,34:03.4,5.65
7072,3072,Arjun Nair,13:03.4,23:03.4,3.55
7073,3073,Karan Mehta,38:03.4,48:03.4,8.42
7074,3074,Divya Rao,08:03.4,31:03.4,2.52
7075,3075,Priya Das,49:03.4,12:03.4,1.58
7076,3076,Rahul Jain,21:03.4,29:03.4,3.08
7077,3077,Karan Mehta,37:03.4,55:03.4,8.25
7078,3078,Arjun Nair,02:03.4,15:03.4,8.66
7079,3079,Amit Singh,28:03.4,41:03.4,8.78
7080,3080,Priya Das,14:03.4,32:03.4,4.71
7081,3081,Karan Mehta,50:03.4,00:03.4,4.01
7082,3082,Amit Singh,30:03.4,40:03.4,6.62
7083,3083,Divya Rao,25:03.4,35:03.4,1.7
7084,3084,Simran Kaur,15:03.4,23:03.4,1.77
7085,3085,Amit Singh,31:03.4,44:03.4,1.61
7086,3086,Vikram Verma,11:03.4,24:03.4,2.05
7087,3087,Amit Singh,04:03.4,27:03.4,4.34
7088,3088,Rahul Jain,54:03.4,07:03.4,2.48
7089,3089,Vikram Verma,19:03.4,37:03.4,1.57
7090,3090,Arjun Nair,19:03.4,27:03.4,6.59
7091,3091,Divya Rao,09:03.4,32:03.4,8.54
7092,3092,Karan Mehta,23:03.4,33:03.4,8.17
7093,3093,Amit Singh,51:03.4,59:03.4,4.69
7094,3094,Rohit Sharma,09:03.4,22:03.4,9.83
7095,3095,Vikram Verma,59:03.4,17:03.4,3.3
7096,3096,Divya Rao,11:03.4,21:03.4,1.62
7097,3097,Priya Das,12:03.4,20:03.4,5.64
7098,3098,Rahul Jain,38:03.4,01:03.4,9.06
7099,3099,Amit Singh,37:03.4,55:03.4,7.56
7100,3100,Divya Rao,02:03.4,12:03.4,8.52
7101,3101,Sneha Patil,31:03.4,54:03.4,9.78
7102,3102,Priya Das,36:03.4,44:03.4,7.17
7103,3103,Divya Rao,07:03.4,30:03.4,6.02
7104,3104,Simran Kaur,19:03.4,32:03.4,9.57
7105,3105,Divya Rao,18:03.4,28:03.4,7.96
7106,3106,Arjun Nair,26:03.4,39:03.4,9.37
7107,3107,Simran Kaur,51:03.4,59:03.4,9.32
7108,3108,Vikram Verma,31:03.4,49:03.4,4.86
7109,3109,Arjun Nair,20:03.4,33:03.4,6.98
7110,3110,Arjun Nair,07:03.4,25:03.4,7.54
7111,3111,Karan Mehta,16:03.4,26:03.4,8.68
7112,3112,Rohit Sharma,21:03.4,34:03.4,8.87
7113,3113,Priya Das,34:03.4,47:03.4,2.22
7114,3114,Vikram Verma,49:03.4,12:03.4,6.01
7115,3115,Divya Rao,29:03.4,39:03.4,6.17
7116,3116,Divya Rao,09:03.4,27:03.4,8.16
7117,3117,Amit Singh,29:03.4,47:03.4,7.09
7118,3118,Vikram Verma,33:03.4,56:03.4,8.75
7119,3119,Arjun Nair,02:03.4,10:03.4,3.26
7120,3120,Arjun Nair,09:03.4,27:03.4,4.65
7121,3121,Divya Rao,15:03.4,25:03.4,2.06
7122,3122,Sneha Patil,46:03.4,59:03.4,9.7
7123,3123,Rahul Jain,03:03.4,11:03.4,1.58
7124,3124,Priya Das,46:03.4,54:03.4,3.39
7125,3125,Rohit Sharma,19:03.4,29:03.4,5.96
7126,3126,Priya Das,04:03.4,17:03.4,1.53
7127,3127,Rohit Sharma,29:03.4,42:03.4,2.76
7128,3128,Divya Rao,45:03.4,58:03.4,3.92
7129,3129,Priya Das,54:03.4,02:03.4,9.17
7130,3130,Sneha Patil,46:03.4,54:03.4,8.15
7131,3131,Amit Singh,15:03.4,38:03.4,4.66
7132,3132,Vikram Verma,50:03.4,00:03.4,7.6
7133,3133,Simran Kaur,04:03.4,14:03.4,2.82
7134,3134,Karan Mehta,32:03.4,50:03.4,2.88
7135,3135,Amit Singh,18:03.4,26:03.4,6.99
7136,3136,Rohit Sharma,45:03.4,58:03.4,9.67
7137,3137,Amit Singh,21:03.4,44:03.4,7.5
7138,3138,Arjun Nair,29:03.4,42:03.4,3.1
7139,3139,Divya Rao,03:03.4,21:03.4,4.68
7140,3140,Vikram Verma,13:03.4,31:03.4,1.7
7141,3141,Divya Rao,01:03.4,14:03.4,5.95
7142,3142,Vikram Verma,54:03.4,07:03.4,8.15
7143,3143,Amit Singh,32:03.4,45:03.4,9.95
7144,3144,Rahul Jain,53:03.4,16:03.4,4.7
7145,3145,Priya Das,39:03.4,47:03.4,6.98
7146,3146,Divya Rao,06:03.4,14:03.4,1.53
7147,3147,Priya Das,57:03.4,15:03.4,2.06
7148,3148,Rohit Sharma,25:03.4,48:03.4,6
7149,3149,Karan Mehta,24:03.4,34:03.4,2.01
7150,3150,Amit Singh,16:03.4,24:03.4,9.08
7151,3151,Divya Rao,14:03.4,37:03.4,9.32
7152,3152,Karan Mehta,35:03.4,48:03.4,3.42
7153,3153,Arjun Nair,31:03.4,44:03.4,3.69
7154,3154,Priya Das,17:03.4,25:03.4,5.72
7155,3155,Vikram Verma,49:03.4,57:03.4,2.65
7156,3156,Priya Das,33:03.4,56:03.4,7.23
7157,3157,Sneha Patil,37:03.4,00:03.4,2.46
7158,3158,Rahul Jain,10:03.4,33:03.4,7.86
7159,3159,Simran Kaur,59:03.4,17:03.4,8.68
7160,3160,Karan Mehta,45:03.4,03:03.4,3.69
7161,3161,Simran Kaur,39:03.4,02:03.4,4.25
7162,3162,Vikram Verma,08:03.4,31:03.4,5.37
7163,3163,Sneha Patil,52:03.4,15:03.4,2.44
7164,3164,Amit Singh,33:03.4,56:03.4,7.21
7165,3165,Amit Singh,26:03.4,36:03.4,3.36
7166,3166,Arjun Nair,07:03.4,17:03.4,3.87
7167,3167,Amit Singh,11:03.4,21:03.4,1.95
7168,3168,Rahul Jain,29:03.4,39:03.4,2.27
7169,3169,Amit Singh,05:03.4,28:03.4,7.76
7170,3170,Rahul Jain,51:03.4,59:03.4,4.97
7171,3171,Karan Mehta,37:03.4,55:03.4,5.87
7172,3172,Priya Das,03:03.4,11:03.4,4.83
7173,3173,Amit Singh,04:03.4,12:03.4,4.44
7174,3174,Simran Kaur,59:03.4,17:03.4,5.61
7175,3175,Rohit Sharma,03:03.4,13:03.4,3.92
7176,3176,Vikram Verma,22:03.4,40:03.4,8.81
7177,3177,Priya Das,20:03.4,28:03.4,5.48
7178,3178,Rohit Sharma,05:03.4,18:03.4,4.7
7179,3179,Karan Mehta,01:03.4,19:03.4,8.65
7180,3180,Divya Rao,40:03.4,53:03.4,2.23
7181,3181,Karan Mehta,47:03.4,10:03.4,5.49
7182,3182,Amit Singh,24:03.4,37:03.4,7.4
7183,3183,Rohit Sharma,18:03.4,41:03.4,8.53
7184,3184,Vikram Verma,54:03.4,04:03.4,2.78
7185,3185,Arjun Nair,55:03.4,13:03.4,6.61
7186,3186,Vikram Verma,53:03.4,06:03.4,4.52
7187,3187,Rahul Jain,10:03.4,18:03.4,9.46
7188,3188,Rohit Sharma,25:03.4,48:03.4,8.83
7189,3189,Simran Kaur,47:03.4,55:03.4,3.93
7190,3190,Amit Singh,57:03.4,05:03.4,3.19
7191,3191,Rahul Jain,35:03.4,53:03.4,2.44
